first_name,last_name,reason,release,gender,birthdate
Winston,Bogisich,dejection,2026,Bigender,1950-10-16
Willard,Flatley,delight,2026,Bigender,1909-06-10
Donita,Gusikowski,loneliness,2028,Non-binary,1984-10-04
Nestor,Jones,longing,2023,Female,2014-07-06
Jillian,Reichel,hostility,2023,Bigender,1991-04-10
Latrina,Ward,misery,2025,Genderfluid,1942-01-25
Tiffaney,Cummings,tenderness,2026,Male,2004-07-26
Merlin,Jakubowski,defeat,2026,Polygender,1925-07-17
Tod,Weber,relief,2025,Male,1971-06-24
Marylee,Greenfelder,longing,2024,Bigender,1949-03-06
Jay,Treutel,triumph,2027,Bigender,1918-11-15
Tracee,Carter,tenderness,2025,Non-binary,1945-10-31
Wendolyn,O'Connell,hopelessness,2026,Agender,1922-06-01
Keeley,Ziemann,attraction,2023,Polygender,1999-12-09
Grant,Lakin,caring,2025,Female,1997-12-28
Shane,Friesen,astonishment,2028,Agender,1958-03-21
Son,Mertz,disgust,2025,Genderqueer,1968-11-12
Ronda,Swift,contempt,2026,Genderqueer,1930-04-09
Jay,Sipes,contempt,2026,Non-binary,1987-10-27
Aurora,Fadel,worry,2025,Non-binary,2009-11-16
